Id,MSSubClass,MSZoning,LotFrontage,LotArea,Neighborhood,LotShape,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,Alley,MoSold,YrSold,SaleType,SaleCondition,Exterior1st,Exterior2nd,Utilities,SalePrice
67,70,RL,60.0,9483.0,CollgCr,Reg,Sev,4,8,1943,1963,Stone,100.0,Gd,TA,Gd,TA,No,Unf,603,369,1135,Gd,Y,SBrkr,1960,900,1869,0,0,1,1,1,TA,8,Min1,2,Gd,Attchd,2005.0,RFn,3,8,TA,TA,Y,10,26,53,0,79,0,,,,,3,2009,WD,Normal,VinylSd,Wd Sdng,AllPub,224259.0
68,70,RL,59.0,21213.0,NAmes,Reg,Sev,3,6,1991,1967,,100.0,Gd,TA,,TA,No,ALQ,592,924,209,Ex,Y,SBrkr,1879,1200,1652,0,0,3,0,4,TA,10,Mod,0,Gd,Attchd,1995.0,RFn,2,5,TA,Gd,Y,244,64,170,0,54,0,,,,,5,2007,WD,Normal,VinylSd,HdBoard,AllPub,136667.0
69,120,RL,97.0,8505.0,OldTown,IR1,Sev,8,6,1945,1959,Stone,0.0,Fa,Gd,Gd,TA,No,Unf,605,864,1714,Gd,Y,SBrkr,655,900,2842,1,0,1,1,1,Ex,6,Typ,2,TA,Detchd,,Fin,3,283,TA,TA,Y,156,145,135,0,36,0,,,,,1,2007,WD,Abnorml,Wd Sdng,Wd Sdng,AllPub,292744.0
70,70,RL,81.0,6731.0,NAmes,IR2,Gtl,4,5,1927,1959,BrkFace,100.0,Gd,Gd,Gd,TA,No,GLQ,8,56,488,Ex,Y,SBrkr,1778,1200,3645,1,1,1,0,3,TA,10,Typ,2,Gd,Attchd,2005.0,Fin,2,872,TA,TA,Y,43,292,169,0,58,0,,,,,3,2007,WD,Normal,Wd Sdng,Wd Sdng,AllPub,264235.0
71,60,RM,90.0,9593.0,Somerst,Reg,Gtl,4,3,1991,2010,,0.0,Fa,Fa,TA,TA,No,Unf,725,459,682,TA,Y,SBrkr,666,900,4316,0,1,3,1,4,TA,10,Min1,0,TA,Attchd,2005.0,Fin,2,614,TA,TA,Y,80,26,141,0,68,0,,,,,7,2006,WD,Normal,HdBoard,Wd Sdng,AllPub,277313.0
72,60,RM,63.0,12591.0,CollgCr,IR2,Gtl,6,5,1974,1994,BrkFace,0.0,Ex,Gd,TA,Gd,No,ALQ,252,477,345,Gd,Y,SBrkr,1347,0,2443,0,0,2,0,1,TA,9,Typ,1,,Attchd,1980.0,Unf,3,812,TA,TA,Y,386,104,46,0,87,0,,,,,11,2007,WD,Partial,Wd Sdng,Wd Sdng,AllPub,221429.0
73,60,RL,85.0,6314.0,OldTown,IR1,Mod,6,8,1919,1991,Stone,100.0,Gd,Fa,Gd,TA,No,Unf,410,188,1774,Ex,Y,SBrkr,1400,600,3151,0,0,3,1,1,TA,8,Mod,2,,Detchd,1995.0,RFn,0,644,,Gd,Y,144,21,5,0,80,0,,,,,7,2010,WD,Normal,VinylSd,Wd Sdng,AllPub,267561.0
74,60,RM,56.0,6819.0,CollgCr,IR1,Sev,5,5,2004,1983,,200.0,Gd,Gd,Gd,TA,Av,Unf,1130,880,1167,Ex,Y,SBrkr,2023,900,2829,1,1,2,1,5,TA,4,Mod,1,Gd,Detchd,1995.0,Unf,2,614,TA,,Y,107,54,13,0,140,0,,,,,1,2010,New,Partial,VinylSd,VinylSd,AllPub,271784.0
75,70,RM,56.0,10249.0,Somerst,IR1,Sev,5,3,1926,1978,,200.0,Ex,TA,Gd,TA,No,ALQ,614,513,640,Gd,Y,SBrkr,966,900,3926,1,1,1,1,1,TA,8,Mod,2,Gd,Attchd,1980.0,RFn,0,236,TA,TA,Y,7,200,10,0,123,0,,,,,1,2008,WD,Normal,HdBoard,Wd Sdng,AllPub,242637.0
76,120,FV,82.0,3432.0,OldTown,IR2,Gtl,10,7,1988,1959,Stone,200.0,Ex,TA,TA,TA,No,Unf,276,544,1681,Ex,Y,FuseA,1328,600,3182,1,0,2,1,2,,8,Min1,1,,,2005.0,Unf,0,292,TA,TA,Y,238,119,79,0,41,500,,,,,4,2007,WD,Normal,HdBoard,HdBoard,AllPub,355327.0
77,20,RM,58.0,6452.0,Somerst,IR1,Sev,10,7,1938,1980,,,Fa,TA,Ex,TA,Av,Unf,846,91,842,Gd,Y,SBrkr,805,600,1937,0,0,1,0,1,TA,11,Min1,2,Gd,Detchd,2005.0,Unf,0,362,,TA,Y,367,165,139,0,30,0,,MnPrv,,,7,2006,WD,Normal,Wd Sdng,VinylSd,AllPub,216376.0
78,120,RL,85.0,11369.0,OldTown,Reg,Mod,3,3,1977,1986,BrkFace,0.0,Ex,Gd,TA,TA,Gd,GLQ,37,354,324,TA,Y,SBrkr,1322,900,976,1,0,2,0,1,TA,7,Typ,2,TA,Attchd,2005.0,Unf,0,443,TA,TA,Y,225,268,103,0,74,0,,,,,12,2008,New,Normal,VinylSd,HdBoard,AllPub,80931.0
79,70,FV,118.0,7510.0,Somerst,IR1,Sev,4,8,1944,1995,BrkFace,0.0,Ex,TA,Gd,TA,Av,ALQ,515,663,1373,Gd,Y,SBrkr,1064,600,2815,1,0,3,0,5,Gd,9,Typ,1,,Attchd,,Unf,0,826,TA,TA,Y,107,138,29,0,45,0,,MnPrv,,,3,2010,WD,Normal,VinylSd,HdBoard,AllPub,246405.0
80,60,FV,36.0,5498.0,NAmes,IR1,Gtl,8,3,1994,1959,Stone,0.0,Gd,Fa,Ex,TA,Gd,Unf,800,608,864,Ex,Y,SBrkr,1299,600,3805,0,0,3,0,4,TA,4,Typ,1,TA,Attchd,1980.0,RFn,2,288,TA,TA,Y,34,221,179,0,70,0,,,,Grvl,8,2007,WD,Normal,HdBoard,HdBoard,AllPub,347558.0
81,70,RL,55.0,15957.0,CollgCr,Reg,Sev,9,3,1955,1960,BrkFace,0.0,Ex,Gd,TA,TA,,,757,967,268,TA,Y,SBrkr,502,0,854,1,1,3,1,1,TA,3,Min1,2,TA,Detchd,2005.0,RFn,3,386,Gd,,Y,56,102,56,0,125,500,,MnPrv,,,8,2010,WD,Normal,HdBoard,Wd Sdng,AllPub,184879.0
82,70,RM,92.0,5865.0,CollgCr,Reg,Gtl,9,6,1937,1984,Stone,100.0,TA,Fa,Gd,TA,No,GLQ,988,814,757,Gd,Y,SBrkr,2088,1200,4388,0,0,3,1,5,Gd,8,Min1,2,Gd,Attchd,2005.0,RFn,3,242,TA,TA,Y,235,108,142,0,12,0,,MnPrv,,,2,2010,WD,Normal,Wd Sdng,Wd Sdng,AllPub,363238.0
83,60,FV,67.0,7654.0,NAmes,IR2,Mod,10,5,1953,1962,,100.0,Fa,TA,TA,Gd,No,GLQ,605,11,691,Ex,Y,SBrkr,1727,0,3748,1,1,1,0,5,Ex,4,Mod,1,,Detchd,,Fin,1,678,TA,,N,320,43,76,0,126,500,,,,,8,2009,New,Normal,VinylSd,Wd Sdng,AllPub,312136.0
84,60,RL,93.0,8008.0,NAmes,IR1,Gtl,10,4,1939,1970,Stone,,Fa,Gd,Gd,,Mn,GLQ,511,241,1156,Ex,Y,SBrkr,834,600,1159,1,0,2,0,2,TA,5,Typ,0,Gd,Attchd,1980.0,Unf,3,245,,TA,Y,220,183,3,0,27,0,,,,,3,2009,WD,Partial,HdBoard,Wd Sdng,AllPub,262674.0
85,70,RM,50.0,9181.0,CollgCr,IR1,Sev,7,3,1973,1965,,0.0,Ex,Gd,Ex,Gd,No,Unf,950,591,4,TA,Y,SBrkr,1046,1200,3190,1,0,2,1,1,TA,10,Typ,2,,Detchd,2005.0,,1,315,TA,TA,Y,62,249,143,0,27,500,,MnPrv,,,10,2006,WD,Normal,HdBoard,HdBoard,AllPub,246999.0
86,70,RM,77.0,8016.0,Somerst,Reg,Mod,6,5,1901,1996,BrkFace,0.0,Gd,Fa,TA,TA,No,ALQ,838,990,1275,TA,Y,SBrkr,1454,1200,3429,0,1,2,0,3,Gd,3,Mod,0,,Detchd,2005.0,Unf,3,116,TA,Gd,N,290,207,70,0,1,0,,,,,11,2007,WD,Normal,Wd Sdng,VinylSd,AllPub,275911.0
87,70,RL,67.0,8740.0,OldTown,IR2,Mod,4,8,1943,1976,,0.0,Ex,Fa,Gd,TA,No,Unf,976,330,195,Gd,Y,SBrkr,1182,900,4519,1,0,3,1,3,TA,7,Mod,2,Gd,Attchd,,Fin,3,450,TA,TA,Y,104,44,124,0,94,0,,,,,12,2009,New,Normal,Wd Sdng,Wd Sdng,AllPub,313837.0
88,60,RM,73.0,9111.0,CollgCr,IR2,Mod,6,8,1976,1980,,200.0,Fa,Gd,TA,TA,No,GLQ,883,805,1146,Gd,Y,SBrkr,682,600,4486,1,1,2,0,2,Gd,9,Typ,0,,Attchd,1980.0,RFn,2,675,TA,TA,Y,267,45,119,0,137,0,,,,,3,2006,WD,Abnorml,HdBoard,Wd Sdng,AllPub,355350.0
89,120,RL,77.0,8725.0,Somerst,IR2,Gtl,5,5,1925,1959,BrkFace,100.0,Fa,Gd,TA,Gd,Av,Unf,1198,83,512,TA,Y,SBrkr,1806,900,2154,0,0,2,0,2,Gd,8,Mod,2,,Detchd,1980.0,,2,876,TA,TA,Y,92,143,176,0,118,0,,,,,1,2006,WD,Normal,Wd Sdng,VinylSd,AllPub,207315.0
90,60,RL,46.0,9209.0,OldTown,Reg,Sev,3,3,1994,2000,Stone,200.0,TA,TA,TA,TA,No,Unf,330,35,1037,Gd,Y,SBrkr,1389,0,3220,1,1,3,1,5,TA,3,Typ,1,Gd,Detchd,,Fin,0,897,TA,TA,Y,217,29,83,0,33,0,,,Shed,,10,2008,WD,Normal,Wd Sdng,Wd Sdng,AllPub,207597.0
91,60,RL,49.0,4387.0,NAmes,Reg,Sev,5,7,1905,2003,,0.0,Ex,TA,Ex,,No,Unf,826,745,1942,Ex,Y,SBrkr,1608,900,2524,0,1,1,1,5,Gd,8,Typ,2,Gd,Attchd,1995.0,RFn,2,675,TA,TA,Y,228,156,167,0,13,0,,,,,5,2010,WD,Partial,Wd Sdng,VinylSd,AllPub,246340.0
92,120,RL,98.0,10222.0,CollgCr,IR2,Sev,6,8,1946,1971,Stone,0.0,TA,TA,Gd,TA,Av,GLQ,849,439,1198,TA,Y,SBrkr,698,900,2649,0,0,3,1,1,Gd,5,Min1,1,Gd,Detchd,2005.0,Unf,0,357,TA,TA,Y,70,115,132,0,15,0,,,,,2,2006,WD,Normal,VinylSd,HdBoard,AllPub,220751.0
93,60,RL,76.0,5876.0,OldTown,IR2,Mod,5,7,1906,1974,Stone,0.0,Gd,Gd,Ex,TA,No,Unf,605,708,1293,TA,Y,SBrkr,1669,900,4370,0,1,2,1,5,Gd,5,Typ,2,Gd,Attchd,2005.0,,3,367,,TA,Y,158,146,39,0,111,0,,,,,3,2007,WD,Normal,VinylSd,Wd Sdng,AllPub,311627.0
94,20,RL,72.0,4675.0,NAmes,IR2,Sev,8,5,1997,1974,,,Gd,TA,Ex,TA,No,Unf,58,486,220,TA,Y,SBrkr,691,900,1612,0,1,3,0,2,Gd,9,Min1,0,,Detchd,1980.0,Fin,2,723,TA,TA,Y,222,142,25,0,51,0,,,,,3,2008,WD,Normal,HdBoard,VinylSd,AllPub,208647.0
95,70,RL,69.0,13554.0,CollgCr,Reg,Gtl,5,7,1902,1950,,200.0,TA,Fa,TA,,Av,Unf,1091,895,319,Gd,Y,SBrkr,989,900,3818,1,0,3,1,5,Gd,9,Typ,0,,Detchd,,RFn,1,534,TA,TA,Y,97,58,67,0,66,0,,,,,8,2009,WD,Normal,VinylSd,HdBoard,AllPub,255722.0
96,70,RL,77.0,6090.0,NAmes,IR2,Gtl,5,4,1990,1966,BrkFace,0.0,TA,Gd,Gd,TA,No,GLQ,989,315,255,TA,Y,SBrkr,756,600,4572,1,1,3,1,5,Ex,5,Mod,1,Gd,Attchd,1995.0,Unf,1,819,TA,TA,Y,373,157,44,0,29,500,,MnPrv,,,9,2007,WD,Normal,HdBoard,VinylSd,AllPub,317954.0
97,20,RL,47.0,9452.0,NAmes,Reg,Gtl,10,8,1904,1993,,100.0,Gd,TA,TA,TA,No,ALQ,846,323,121,Ex,Y,FuseA,820,1200,4266,0,1,3,1,2,Gd,9,Mod,2,TA,Detchd,1995.0,Fin,0,622,TA,TA,N,264,298,171,0,62,0,,,,,7,2006,New,Normal,VinylSd,VinylSd,AllPub,331849.0
98,20,FV,50.0,7103.0,NAmes,IR2,Gtl,4,8,1984,1992,,0.0,Ex,Fa,Gd,TA,No,Unf,796,986,1111,Ex,Y,FuseA,727,0,4153,0,1,1,0,5,TA,6,Min1,0,,Attchd,2005.0,Unf,2,867,TA,TA,Y,341,125,57,0,54,0,,MnPrv,,,8,2008,WD,Normal,Wd Sdng,HdBoard,AllPub,304905.0
99,60,RL,96.0,7306.0,CollgCr,IR2,Mod,5,4,1989,1999,BrkFace,200.0,TA,TA,Gd,Gd,No,Unf,20,682,1035,Ex,Y,SBrkr,934,1200,1111,1,0,1,1,5,Gd,8,Mod,0,TA,Attchd,1995.0,Fin,3,265,TA,TA,Y,38,151,185,0,68,500,,MnPrv,,,11,2007,WD,Normal,VinylSd,VinylSd,AllPub,211603.0
100,120,RM,73.0,10354.0,OldTown,Reg,Mod,6,6,1939,2006,Stone,,Fa,Fa,TA,TA,,ALQ,233,660,392,Gd,Y,SBrkr,1148,0,3728,1,0,3,0,1,TA,11,Typ,2,,,1995.0,RFn,0,604,,TA,Y,104,240,70,0,50,0,,,,,7,2009,WD,Partial,Wd Sdng,HdBoard,AllPub,245383.0
101,60,RM,87.0,6539.0,OldTown,IR1,Gtl,10,7,1984,1957,,0.0,Ex,TA,TA,TA,,Unf,188,666,24,TA,Y,SBrkr,512,0,2859,1,1,2,0,2,Gd,10,Min1,0,Gd,Attchd,1980.0,RFn,2,852,TA,Gd,Y,344,211,151,0,140,0,,,,,2,2010,WD,Normal,HdBoard,HdBoard,AllPub,284013.0
102,120,RL,58.0,10015.0,Somerst,Reg,Gtl,4,4,1986,1954,,200.0,TA,Fa,Ex,TA,No,,398,880,1122,Gd,Y,SBrkr,1506,600,993,0,0,3,1,3,TA,4,Typ,1,,Attchd,1995.0,Unf,0,591,TA,TA,Y,19,138,172,0,39,500,,MnPrv,,,10,2006,New,Normal,Wd Sdng,VinylSd,AllPub,125581.0
103,60,RL,98.0,10039.0,NAmes,IR1,Mod,6,8,1924,1976,Stone,100.0,Gd,Fa,Ex,TA,,Unf,42,50,720,TA,Y,SBrkr,1496,0,3451,1,0,1,0,5,TA,3,Mod,0,Gd,Attchd,2005.0,RFn,2,453,TA,TA,N,306,94,102,0,25,0,,,,,1,2010,WD,Normal,VinylSd,HdBoard,AllPub,283492.0
104,20,RM,77.0,12700.0,NAmes,IR2,Gtl,7,7,1967,1985,BrkFace,100.0,Gd,TA,Gd,TA,Av,ALQ,35,124,1499,Gd,Y,SBrkr,985,900,1388,0,1,1,0,4,TA,10,Typ,2,TA,Attchd,1995.0,RFn,2,398,TA,Gd,Y,241,48,198,0,13,0,,,,,2,2007,WD,Normal,HdBoard,VinylSd,AllPub,195047.0
105,120,RL,80.0,8096.0,NAmes,IR1,Sev,3,7,1993,1975,BrkFace,100.0,Gd,Fa,Ex,Gd,No,GLQ,952,894,1188,Gd,Y,SBrkr,1712,900,2881,0,1,2,0,5,TA,6,Mod,0,Gd,Attchd,1980.0,Unf,0,212,TA,TA,Y,8,26,77,0,129,0,,,,,9,2006,WD,Normal,Wd Sdng,VinylSd,AllPub,196569.0
106,120,RM,81.0,12258.0,NAmes,IR1,Gtl,6,5,2004,1982,,100.0,Gd,Gd,TA,TA,Av,Unf,15,541,1616,TA,Y,SBrkr,563,600,2491,1,0,3,1,1,Gd,4,Min1,2,,Attchd,1995.0,Fin,0,145,TA,TA,Y,256,167,4,0,10,500,,MnPrv,,,2,2010,WD,Normal,Wd Sdng,HdBoard,AllPub,193314.0
107,20,RL,54.0,15006.0,CollgCr,IR2,Sev,6,3,1916,1951,BrkFace,100.0,Fa,Fa,TA,TA,No,Unf,1174,637,228,Ex,Y,SBrkr,1810,0,1660,0,0,1,1,3,TA,10,Typ,2,,Attchd,1980.0,RFn,1,406,,TA,Y,153,166,92,0,12,0,,,,,10,2008,WD,Normal,Wd Sdng,Wd Sdng,AllPub,171364.0
108,20,RM,33.0,14415.0,Somerst,Reg,Mod,10,6,1915,2001,,0.0,Gd,TA,TA,TA,Gd,ALQ,512,478,254,Gd,Y,SBrkr,847,900,1309,1,0,1,1,5,TA,5,Typ,2,Gd,Attchd,2005.0,Unf,1,678,TA,TA,Y,291,25,82,0,47,500,,,,,8,2007,New,Partial,VinylSd,HdBoard,AllPub,186471.0
109,70,,49.0,10677.0,OldTown,IR1,Mod,7,4,1954,2003,Stone,0.0,TA,Gd,TA,TA,Gd,ALQ,1069,427,999,Ex,Y,SBrkr,1267,900,1108,1,1,3,0,4,Gd,11,Typ,2,Gd,Attchd,1980.0,RFn,3,158,TA,TA,Y,343,93,168,0,84,500,,,,Grvl,4,2007,WD,Normal,VinylSd,Wd Sdng,AllPub,200476.0
110,60,RL,103.0,10247.0,OldTown,IR2,Mod,4,5,1987,1979,BrkFace,0.0,Gd,Gd,TA,TA,No,GLQ,1071,726,161,TA,Y,SBrkr,1371,900,3036,1,0,1,1,4,Gd,5,Mod,1,,Attchd,1980.0,Unf,2,39,TA,TA,Y,242,235,87,0,26,0,Ex,,,,10,2010,WD,Normal,HdBoard,VinylSd,AllPub,230852.0
111,70,RL,96.0,21054.0,CollgCr,IR1,Sev,7,8,1911,1977,Stone,0.0,Gd,TA,TA,TA,No,ALQ,269,469,1361,TA,Y,SBrkr,950,900,2393,0,0,1,0,4,TA,5,Mod,1,TA,Attchd,1980.0,RFn,0,101,TA,TA,Y,117,183,125,0,19,0,,MnPrv,,,6,2008,WD,Normal,Wd Sdng,VinylSd,AllPub,247803.0
112,20,RL,63.0,17495.0,Somerst,Reg,Sev,8,3,1948,1988,,0.0,Ex,Gd,TA,Gd,No,,503,396,85,TA,Y,SBrkr,1789,600,1217,1,0,1,1,4,Ex,4,Typ,2,,Detchd,2005.0,,2,473,TA,TA,Y,321,240,113,0,41,0,,,,Grvl,2,2010,WD,Normal,VinylSd,Wd Sdng,AllPub,204636.0
113,120,RM,64.0,7115.0,Somerst,IR1,Mod,9,4,2003,1983,,0.0,Fa,TA,TA,TA,Av,ALQ,327,397,1133,Gd,Y,SBrkr,1067,600,3329,0,0,2,1,5,Gd,5,Typ,1,Gd,Detchd,2005.0,Fin,0,320,TA,TA,Y,124,178,173,0,137,0,,,,Grvl,10,2009,New,Normal,HdBoard,HdBoard,AllPub,326321.0
114,60,RL,91.0,11814.0,CollgCr,IR2,Mod,4,7,1927,1968,BrkFace,0.0,Ex,TA,Gd,TA,Av,ALQ,594,895,956,TA,Y,SBrkr,2055,900,3249,0,0,3,0,1,TA,11,Mod,2,,Attchd,1995.0,RFn,3,105,,TA,Y,175,165,124,0,102,0,,,,,3,2009,WD,Abnorml,Wd Sdng,HdBoard,AllPub,244379.0
115,120,RL,67.0,10728.0,OldTown,IR2,Gtl,4,7,1968,1988,,200.0,Fa,TA,TA,TA,Av,GLQ,1131,652,629,Gd,Y,SBrkr,2078,900,2816,0,1,3,0,3,Gd,10,Typ,2,,Detchd,2005.0,Unf,3,233,TA,TA,Y,361,253,88,0,100,0,,,,,6,2009,WD,Normal,HdBoard,VinylSd,AllPub,218581.0
116,120,RL,44.0,9152.0,CollgCr,IR2,Sev,6,7,1903,1987,BrkFace,0.0,Ex,TA,TA,TA,No,ALQ,773,871,282,TA,Y,SBrkr,1469,1200,1521,1,1,1,1,2,Gd,7,Mod,1,,Attchd,,RFn,1,289,TA,TA,Y,26,228,199,0,8,500,,,,,7,2007,WD,Normal,VinylSd,Wd Sdng,AllPub,185797.0
117,70,RM,95.0,9377.0,CollgCr,Reg,Gtl,3,6,1972,2006,Stone,100.0,TA,Gd,TA,Gd,Av,GLQ,638,506,1036,TA,N,SBrkr,2067,0,4550,0,0,1,1,4,Gd,7,Mod,0,,Attchd,,RFn,0,424,TA,TA,Y,163,181,104,0,74,0,,MnPrv,Shed,,10,2010,WD,Normal,VinylSd,HdBoard,AllPub,293580.0
118,20,RL,80.0,10367.0,CollgCr,IR1,Gtl,8,4,2002,2000,BrkFace,0.0,TA,Gd,TA,Gd,Av,GLQ,700,137,1653,TA,Y,SBrkr,1547,900,907,1,0,1,0,5,Gd,7,Min1,2,,Attchd,,Unf,1,160,TA,,Y,18,199,37,0,82,500,,,,,12,2010,,Normal,VinylSd,VinylSd,AllPub,217318.0
119,120,RL,20.0,11863.0,Somerst,IR2,Gtl,10,8,1992,1950,,200.0,TA,Gd,TA,TA,No,ALQ,271,23,1932,Ex,Y,SBrkr,1204,600,3853,1,0,2,1,3,TA,9,Min1,1,,Attchd,1980.0,,0,446,TA,TA,Y,142,90,44,0,5,500,,,,Grvl,4,2006,WD,Partial,VinylSd,VinylSd,AllPub,373543.0
120,20,RM,64.0,9563.0,Somerst,IR2,Gtl,6,6,1904,1957,Stone,200.0,Ex,TA,TA,Gd,No,Unf,117,341,465,Ex,Y,SBrkr,1032,1200,2447,0,1,3,1,2,Gd,4,Mod,0,,Attchd,1995.0,Unf,0,490,Gd,TA,N,252,214,54,0,144,0,,,,Grvl,9,2007,WD,Normal,HdBoard,HdBoard,AllPub,183473.0
121,70,RL,73.0,9916.0,Somerst,IR1,Gtl,8,3,1955,1991,BrkFace,0.0,TA,Fa,Gd,TA,Av,ALQ,174,581,1557,Ex,Y,SBrkr,1929,600,638,1,0,2,0,3,Gd,4,Mod,2,Gd,Detchd,2005.0,,1,329,TA,TA,Y,260,235,113,0,118,0,,,,,1,2006,WD,Normal,HdBoard,HdBoard,NoSeWa,196844.0
122,60,RL,80.0,13598.0,NAmes,IR1,Sev,5,3,1994,1990,,0.0,Gd,TA,TA,TA,No,ALQ,708,268,894,Ex,Y,SBrkr,1439,900,3860,1,0,3,1,1,Gd,6,Mod,0,Gd,Detchd,1980.0,Fin,0,549,TA,TA,Y,307,181,24,0,91,500,,MnPrv,,,12,2010,WD,Normal,Wd Sdng,VinylSd,AllPub,273723.0
123,120,RM,73.0,9851.0,CollgCr,Reg,Mod,10,4,1998,1980,BrkFace,0.0,Fa,TA,Ex,TA,Av,Unf,692,805,254,Ex,Y,SBrkr,1073,600,1171,0,0,1,1,1,TA,11,Min1,2,,Detchd,1980.0,,3,417,TA,Gd,Y,81,259,36,0,138,0,,,,,7,2008,WD,Normal,VinylSd,Wd Sdng,AllPub,189650.0
124,20,RL,57.0,10546.0,CollgCr,Reg,Mod,10,8,1941,1957,Stone,100.0,Ex,TA,TA,TA,Mn,ALQ,349,360,559,Gd,Y,SBrkr,1075,1200,3477,0,0,3,1,5,TA,5,Mod,0,,Attchd,1995.0,Fin,0,860,,Gd,Y,249,181,87,0,26,0,,,,,10,2007,WD,Abnorml,HdBoard,HdBoard,AllPub,295940.0
125,120,RL,68.0,12053.0,Somerst,IR2,Mod,7,4,1932,1985,BrkFace,0.0,TA,TA,TA,TA,No,Unf,528,434,1004,Gd,Y,SBrkr,2164,1200,791,0,1,1,0,4,TA,10,Typ,0,Gd,Detchd,,Unf,0,683,TA,TA,Y,317,282,33,0,61,0,,,,,3,2006,WD,Normal,HdBoard,HdBoard,AllPub,177165.0
126,20,RL,76.0,14618.0,OldTown,IR2,Mod,9,4,1998,1997,,100.0,Ex,Gd,Ex,TA,No,ALQ,40,764,393,Ex,Y,SBrkr,1518,0,3275,0,0,3,0,2,TA,3,Typ,1,,Attchd,1980.0,Unf,3,76,TA,TA,Y,388,209,42,0,91,0,,,,,8,2009,WD,Abnorml,VinylSd,VinylSd,AllPub,345655.0
127,70,RL,65.0,12940.0,Somerst,Reg,Mod,3,3,1950,1979,BrkFace,200.0,TA,Gd,Ex,TA,No,Unf,123,733,1207,TA,Y,FuseA,1511,600,3900,0,0,3,0,1,Ex,4,Mod,1,,Attchd,1995.0,Fin,2,415,,TA,P,110,183,154,0,54,0,,,,,3,2007,WD,Normal,Wd Sdng,HdBoard,AllPub,291475.0
128,70,RL,63.0,10028.0,Somerst,IR1,Gtl,6,4,1934,1981,Stone,0.0,Gd,Fa,Ex,Gd,Mn,ALQ,34,184,1883,TA,Y,SBrkr,500,600,1460,1,0,1,0,1,TA,9,Min1,1,,Attchd,2005.0,,1,329,TA,,Y,136,181,161,0,102,0,,,,,3,2008,WD,Partial,HdBoard,Wd Sdng,AllPub,193289.0
129,120,RL,95.0,9531.0,NAmes,IR2,Gtl,6,6,1993,1995,BrkFace,100.0,TA,Gd,Gd,Gd,Av,ALQ,538,686,1706,TA,Y,SBrkr,753,1200,1869,1,1,3,1,4,Gd,10,Mod,2,,Detchd,2005.0,RFn,1,462,TA,TA,N,344,218,60,0,10,0,,,,,6,2007,WD,Normal,VinylSd,VinylSd,AllPub,220330.0
130,60,RL,51.0,6204.0,Somerst,Reg,Mod,3,8,1973,1987,Stone,200.0,Ex,Fa,Gd,TA,Gd,ALQ,452,59,144,Ex,Y,SBrkr,1560,1200,3270,0,0,2,0,2,Gd,6,Typ,1,TA,Attchd,2005.0,RFn,3,100,TA,TA,Y,298,82,71,0,101,0,,,Shed,,8,2007,WD,Normal,Wd Sdng,HdBoard,AllPub,232214.0
131,120,FV,63.0,9775.0,OldTown,Reg,Gtl,9,8,1974,1963,Stone,,Fa,Gd,TA,TA,No,Unf,1198,235,405,Ex,Y,SBrkr,1562,900,1350,1,0,1,1,3,Ex,10,Mod,0,Gd,Detchd,1980.0,,0,515,TA,TA,Y,55,244,27,0,141,0,,,,,2,2006,WD,Partial,HdBoard,VinylSd,AllPub,193879.0
132,70,RL,29.0,6561.0,NAmes,IR1,Gtl,5,4,1940,1974,,200.0,Ex,Fa,TA,,Mn,Unf,1002,546,1464,Gd,N,,1235,600,676,0,0,1,1,2,TA,6,Min1,1,,Attchd,1995.0,Fin,2,870,TA,TA,Y,234,287,10,0,26,0,,,,,8,2010,New,Normal,HdBoard,VinylSd,AllPub,173724.0
133,120,RL,81.0,6587.0,Somerst,IR2,Gtl,3,6,1996,2008,,,TA,Gd,TA,TA,Gd,,424,362,164,TA,Y,SBrkr,1242,1200,1907,1,1,1,1,2,TA,8,Min1,2,,Attchd,1980.0,Fin,1,264,TA,TA,Y,138,158,30,0,34,0,,,Shed,,4,2010,WD,Normal,VinylSd,VinylSd,AllPub,148258.0
134,20,RL,87.0,10885.0,Somerst,Reg,Sev,4,7,1936,1979,,,Gd,TA,TA,TA,No,GLQ,31,785,509,Ex,Y,FuseA,2125,900,4364,1,0,1,0,4,Gd,11,Mod,1,,Attchd,,Unf,3,355,TA,Gd,P,3,7,134,0,107,0,,,,,1,2008,WD,Normal,HdBoard,HdBoard,AllPub,285226.0
